Stock Final Price,Stock Total Value,Money,Assets,Savings,Number of Stocks, Minimum Performance, Maximum Performance,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10
 , , , , , , , ,1076.47,976.972,1125.02,945.978,1031.52,1012,940.942,1065.46,955.59,1061.4
 , , , , , , , ,1084.42,970.09,1133.7,936.047,1024.89,1013.58,951.266,1063.35,958.812,1057.03
 , , , , , , , ,1083.12,954.639,1139.73,949.038,1016.5,1038.87,936.078,1065.08,954.829,1045.73
 , , , , , , , ,1084.38,958.918,1153.7,961.228,1029.96,1042.9,944.803,1068.97,951.423,1050.35
 , , , , , , , ,1078.35,940.467,1147.44,967.717,1032.21,1051.98,936.568,1068.57,936.059,1057.17
 , , , , , , , ,1080.13,939.431,1139,979.699,1031.5,1036.36,939.497,1068.06,917.021,1061.06
 , , , , , , , ,1078.76,943.806,1149.69,981.14,1022.82,1020.1,938.509,1077.57,927.315,1087
 , , , , , , , ,1071.45,926.834,1135.21,982.729,1022.52,1030.28,947.573,1058.89,927.995,1090.88
 , , , , , , , ,1077.77,936.062,1132.35,975.451,1030.38,1028.51,940.772,1051.85,948.115,1087.04
 , , , , , , , ,1069.15,945.54,1131.49,972.549,1032.45,1046.7,934.217,1053.53,952.824,1092.98
 , , , , , , , ,1080.36,933.566,1143.03,974.973,1040.11,1056.43,954.404,1063.86,968.853,1097.84
 , , , , , , , ,1082.54,929.595,1141.23,980.756,1038.82,1049.81,949.129,1057.59,976.92,1083.06
 , , , , , , , ,1077.24,936.732,1136.68,966.838,1045.12,1053.05,960.356,1067.23,965.251,1056.77
 , , , , , , , ,1068,937.084,1136.66,956.758,1023.44,1051.73,963.952,1064.99,958.739,1056.87
 , , , , , , , ,1065.99,934.714,1137.63,964.39,1018.21,1042.14,972.303,1073.5,958.415,1056.52
 , , , , , , , ,1054.64,946.484,1132.18,961.046,1018.5,1045.9,970.949,1081.44,964.776,1049.8
 , , , , , , , ,1053.33,947.064,1133.65,969.164,1021.9,1065.9,976.112,1080,977.929,1052.78
 , , , , , , , ,1045.65,942.575,1117.71,971.974,1019.58,1057.78,987.201,1080.77,987.564,1039.46
 , , , , , , , ,1035.95,937.359,1122.54,973.703,1009.55,1055.39,990.693,1090.33,996.139,1019.89
 , , , , , , , ,1028.92,942.699,1115.57,986.924,1005.28,1077.98,983.974,1102.21,1003.71,1025.72
 , , , , , , , ,1033.45,940.683,1118.11,995.025,996.398,1076.95,964.522,1100.54,1002.51,1024.52
 , , , , , , , ,1040.81,939.205,1123,1000.2,1006.46,1086.71,963.513,1106.99,1006.63,1022.19
 , , , , , , , ,1041.07,950.634,1138.08,1001.89,983.225,1087.92,979.011,1099.52,1029.25,1016.47
 , , , , , , , ,1037.86,934.708,1136.8,1011.7,970.454,1094.75,975.165,1094.36,1029.67,1019.38
 , , , , , , , ,1042.65,935.022,1159.12,1012.46,963.759,1105.76,983.962,1085.06,1028.09,1021.67
 , , , , , , , ,1047.72,929.463,1168.89,1001.84,973.658,1111.03,986.702,1077.94,1031.79,1022.2
 , , , , , , , ,1031.48,939.734,1175.67,1022.15,975.186,1100.26,973.466,1071.3,1019.3,1031.76
 , , , , , , , ,1036.89,947.256,1178.68,1020.28,965.884,1102.13,981.461,1062.73,1027.16,1045.18
 , , , , , , , ,1033.9,956.577,1172.21,1037.06,974.926,1096.99,982.906,1071.59,1037.76,1049.49
 , , , , , , , ,1046.94,969.1,1183.88,1024.6,966.999,1086.7,970.007,1060.91,1050.58,1042.77
 , , , , , , , ,1053.47,977.918,1198.47,1026.6,976.567,1074.56,970.626,1070.95,1055.81,1036.46
 , , , , , , , ,1030.18,993.382,1196.66,1031.87,981.159,1062.27,974.554,1071.88,1052.17,1043.72
 , , , , , , , ,1038.56,979.026,1200.77,1053.03,991.147,1046.93,974.519,1062.95,1066.03,1035.26
 , , , , , , , ,1044.91,978.605,1207.61,1064.28,995.293,1049.49,966.771,1066.7,1059.93,1041.96
 , , , , , , , ,1044.95,994.775,1210.78,1063.39,1004.9,1037.95,973.654,1060.21,1061.73,1039.22
 , , , , , , , ,1041.07,1015.08,1198.67,1063.14,1005.18,1058.36,987.579,1062.24,1068.11,1033.72
 , , , , , , , ,1024.83,990.372,1195.19,1077.5,1015.79,1054.11,991.506,1060.27,1062.9,1030.44
 , , , , , , , ,1029.27,989.877,1214.25,1077.29,1031.34,1055.08,990.796,1061.96,1064.94,1025.44
